event,track,particle,d1,d2,d3
4707,0,null,0,0,0
4708,0,null,0,0,0
4709,1,primary_proton,1,1,1
4710,1,primary_proton,1,1,1
4711,0,null,0,0,0
4712,1,primary_proton,1,1,1
4713,12,secondary_proton,1,0,0
4714,0,null,0,0,0
4715,0,null,0,0,0
4716,0,null,0,0,0
4717,0,null,0,0,0
4718,70,secondary_proton,1,0,0
4719,0,null,0,0,0
4720,14,secondary_proton,1,1,0
4721,0,null,0,0,0
4722,12,secondary_proton,1,1,1
4723,0,null,0,0,0
4724,0,null,0,0,0
4725,1,primary_proton,1,1,1
4726,0,null,0,0,0
4727,8,secondary_proton,1,0,0
4728,1,primary_proton,1,1,1
4729,1,primary_proton,1,1,1
4730,0,null,0,0,0
4731,0,null,0,0,0
4732,0,null,0,0,0
4733,0,null,0,0,0
4734,0,null,0,0,0
4735,1,primary_proton,1,1,1
4736,0,null,0,0,0
4737,0,null,0,0,0
4738,5,secondary_proton,1,1,1
4739,0,null,0,0,0
4740,0,null,0,0,0
4741,0,null,0,0,0
4742,0,null,0,0,0
4743,4,secondary_proton,1,1,1
4744,0,null,0,0,0
4745,0,null,0,0,0
4746,1,primary_proton,1,1,1
4747,521,e-,1,1,0
4748,0,null,0,0,0
4749,1,primary_proton,1,1,1
4750,0,null,0,0,0
4751,0,null,0,0,0
4752,0,null,0,0,0
4753,0,null,0,0,0
4754,0,null,0,0,0
4755,0,null,0,0,0
4756,1,primary_proton,1,1,1
4757,7,secondary_proton,1,1,0
4758,0,null,0,0,0
4759,0,null,0,0,0
4760,0,null,0,0,0
4761,1,primary_proton,1,1,1
4762,1,primary_proton,1,1,1
4763,0,null,0,0,0
4764,0,null,0,0,0
4765,1,primary_proton,1,1,1
4766,0,null,0,0,0
4767,0,null,0,0,0
4768,1,primary_proton,1,1,1
4769,0,null,0,0,0
4770,22,pi-,1,0,0
4771,1,primary_proton,1,1,1
4772,1,primary_proton,1,1,1
4773,5,secondary_proton,1,0,0
4774,6,secondary_proton,1,1,0
4775,1,primary_proton,1,1,1
4776,0,null,0,0,0
4777,0,null,0,0,0
4778,0,null,0,0,0
4779,9,secondary_proton,1,0,0
4780,0,null,0,0,0
4781,1,primary_proton,1,1,1
4782,0,null,0,0,0
4783,0,null,0,0,0
4784,1,primary_proton,1,1,1
4785,0,null,0,0,0
4786,0,null,0,0,0
4787,10,secondary_proton,1,0,0
4788,0,null,0,0,0
4789,0,null,0,0,0
4790,0,null,0,0,0
4791,9,secondary_proton,1,1,0
4792,0,null,0,0,0
4793,0,null,0,0,0
4794,901,e+,1,0,0
4795,0,null,0,0,0
4796,0,null,0,0,0
4797,1683,pi+,1,0,0
4798,0,null,0,0,0
4799,11,pi+,1,1,0
4800,0,null,0,0,0
4801,0,null,0,0,0
4802,0,null,0,0,0
4803,0,null,0,0,0
