event,track,particle,tungsten_entry,tungsten_exit,sc1_entry,sc1_exit,sc2_entry,sc2_exit,sc3_entry,sc3_exit
264,5,e-,0,0,0,0,0,1,1,0
264,6,e-,0,0,0,0,0,1,1,0
265,1,proton,1,1,1,1,1,1,1,1
265,5,e-,0,0,0,0,0,0,1,0
266,1,proton,1,1,1,1,1,1,1,1
267,1,proton,1,1,1,1,1,1,1,1
268,1,proton,1,1,1,1,1,1,1,1
269,1,proton,1,1,1,1,1,1,1,1
270,1,proton,1,1,1,1,1,1,1,1
271,1,proton,1,1,1,1,1,1,1,0
271,3,e-,0,0,0,0,0,1,0,0
272,1,proton,1,1,1,1,1,1,1,1
273,1,proton,1,1,1,1,1,1,1,1
274,1,proton,1,1,1,1,1,1,1,1
275,1,proton,1,1,1,1,1,1,1,1
276,1,proton,1,1,1,0,0,0,0,0
276,2,neutron,0,0,0,1,1,1,1,1
276,6,pi-,0,0,0,1,1,1,0,0
276,8,proton,0,0,0,1,1,0,0,0
276,9,neutron,0,0,0,1,1,0,0,0
276,10,pi-,0,0,0,1,1,0,0,0
276,11,proton,0,0,0,1,1,1,1,1
276,13,pi+,0,0,0,1,1,0,0,0
276,14,proton,0,0,0,1,1,1,1,0
276,17,gamma,0,0,0,1,1,1,1,1
276,18,gamma,0,0,0,1,1,1,0,0
276,20,e-,0,0,0,1,1,0,0,0
276,22,e-,0,0,0,1,0,0,0,0
276,23,e-,0,0,0,1,0,0,0,0
276,24,e-,0,0,0,1,1,0,0,0
276,25,e-,0,0,0,0,1,0,0,0
276,26,e-,0,0,0,0,1,0,0,0
276,27,gamma,0,0,0,1,1,1,1,1
276,28,gamma,0,0,0,1,1,1,1,1
276,29,gamma,0,0,0,1,1,0,0,0
276,30,gamma,0,0,0,1,0,0,0,0
276,32,gamma,0,0,0,1,0,0,0,0
277,1,proton,1,1,1,0,0,0,0,0
277,5,neutron,0,0,0,1,1,1,1,1
277,6,proton,0,0,0,1,1,1,1,1
277,7,pi-,0,0,0,1,1,1,1,0
277,9,neutron,0,0,0,1,1,1,1,1
277,10,proton,0,1,1,0,0,0,0,0
277,11,pi-,0,0,0,1,1,1,1,1
277,12,pi+,0,0,0,1,0,0,0,0
277,13,pi+,0,1,1,0,0,0,0,0
277,14,proton,0,0,0,1,1,1,1,1
277,15,He3,0,0,0,1,1,1,1,1
277,16,alpha,0,1,1,0,0,0,0,0
277,17,e-,0,0,1,0,0,0,0,0
277,87,e-,0,0,0,0,0,1,0,0
277,88,e-,0,0,1,0,0,0,0,0
278,1,proton,1,1,1,1,1,1,1,1
279,1,proton,1,1,1,1,1,1,1,1
280,1,proton,1,1,1,1,1,1,1,1
280,2,e-,0,1,0,0,0,0,0,0
281,1,proton,1,1,1,1,1,1,1,0
282,1,proton,1,1,1,1,1,1,1,1
282,4,e-,0,0,0,0,0,0,0,1
283,1,proton,1,1,1,1,1,1,1,1
284,1,proton,1,1,1,1,1,1,1,1
285,1,proton,1,1,1,1,1,1,1,1
286,1,proton,1,1,1,1,1,1,1,1
287,1,proton,1,1,1,1,1,1,1,1
288,1,proton,1,1,1,1,1,1,1,1
288,4,e-,0,0,0,0,0,0,0,1
289,1,proton,1,1,1,1,1,1,1,1
290,1,proton,1,1,1,1,1,1,1,1
290,3,e-,0,0,0,0,0,1,1,1
291,1,proton,1,1,1,0,0,0,0,0
291,3,pi-,0,0,0,1,1,1,0,0
291,4,pi+,0,0,0,1,1,1,1,1
291,5,proton,0,0,0,1,1,0,0,0
291,6,pi-,0,0,0,1,1,1,1,0
291,7,pi+,0,0,0,1,0,0,0,0
291,8,neutron,0,0,0,1,1,1,0,0
291,9,pi-,0,0,0,1,1,1,1,0
291,10,pi+,0,0,0,1,0,0,0,0
291,11,deuteron,0,0,0,1,1,0,0,0
291,16,e-,0,0,0,0,0,1,1,1
291,17,gamma,0,0,0,0,0,1,0,0
292,1,proton,1,1,1,1,1,1,1,1
293,1,proton,1,1,1,1,1,1,1,1
293,4,e-,0,0,0,0,0,0,0,1
294,1,proton,1,1,1,1,1,1,1,1
295,1,proton,1,1,1,1,1,1,1,1
296,1,proton,1,1,1,1,1,1,1,1
296,2,e-,0,0,0,1,0,0,0,0
296,4,e-,0,0,0,0,0,1,1,0
296,6,e-,0,0,0,0,0,1,0,0
297,1,proton,1,1,1,1,1,1,1,1
298,1,proton,1,1,1,1,1,1,1,1
299,1,proton,1,1,1,1,1,1,1,1
301,1,proton,1,1,1,1,1,1,1,1
301,2,e-,1,0,0,0,0,0,0,0
